House,Casa
Apartment,Apartamento
Bedroom,Quarto
Bathroom,Banheiro
Living room,Sala de estar
Dining room,Sala de jantar
Hallway,Corredor
Stairs,Escadas
Basement,Sótão
Attic,Sótão
Roof,Telhado
Wall,Parede
Door,Porta
Window,Janela
Floor,Piso
Ceiling,Teto
Lamp/Light,Abajur/Luminária
Switch,Interruptor
Outlet/Tap, Tomada
Curtain,Cortina
Shelf,Prateleira
Mirror,Espelho
Clock,Relógio
Chair,Cadeira
Table,Mesa
Sofa/Couch,Sofá
TV,Televisão
Remote control,Controle remoto
Plant,Planta
Picture frame,Porta-retrato
Bed,Cama
Blanket/Cover,Coberta
Pillow,Travesseiro
