to awake,"Passado simples: awoke/awaked
Particípio do passado: awoken/awaked
Significado: acordar"
to bear,"Passado simples: bore
Particípio do passado: borne/born
Significado: suportar"
to bet,"Passado simples: bet/betted
Particípio do passado: bet/betted
Significado: apostar"
to bid,"Passado simples: bid
Particípio do passado: bid
Significado: oferecer/licitar"
to bind,"Passado simples: bound
Particípio do passado: bound
Significado: amarrar"
to bite,"Passado simples: bit
Particípio do passado: bitten/bit
Significado: morder"
to bleed,"Passado simples: bled
Particípio do passado: bled
Significado: sangrar"
to blow,"Passado simples: blew
Particípio do passado: blown
Significado: soprar"
to breed,"Passado simples: bred
Particípio do passado: bred
Significado: criar/procriar"
to burn,"Passado simples: burned/burnt
Particípio do passado: burned/burnt
Significado: queimar"
to cast,"Passado simples: cast
Particípio do passado: cast
Significado: lançar/jogar"
to catch,"Passado simples: caught
Particípio do passado: caught
Significado: pegar"
to choose,"Passado simples: chose
Particípio do passado: chosen
Significado: escolher"
to clothe,"Passado simples: clothed/clad
Particípio do passado: clothed/clad
Significado: vestir"
to cost,"Passado simples: cost
Particípio do passado: cost
Significado: custar"
to creep,"Passado simples: crept
Particípio do passado: crept
Significado: rastejar"
to crow,"Passado simples: crew/crowed
Particípio do passado: crowed
Significado: cantar (como um galo)"
to cut,"Passado simples: cut
Particípio do passado: cut
Significado: cortar"
to deal,"Passado simples: dealt
Particípio do passado: dealt
Significado: lidar/tratar"
to dig,"Passado simples: dug
Particípio do passado: dug
Significado: cavar"
to do,"Passado simples: did
Particípio do passado: done
Significado: fazer"
to draw,"Passado simples: drew
Particípio do passado: drawn
Significado: desenhar/puxar"
to drink,"Passado simples: drank
Particípio do passado: drunk
Significado: beber"
to drive,"Passado simples: drove
Particípio do passado: driven
Significado: dirigir"
to dwell,"Passado simples: dwelt/dwelled
Particípio do passado: dwelt/dwelled
Significado: habitar"
to eat,"Passado simples: ate
Particípio do passado: eaten
Significado: comer"
to fall,"Passado simples: fell
Particípio do passado: fallen
Significado: cair"
to feed,"Passado simples: fed
Particípio do passado: fed
Significado: alimentar"
to feel,"Passado simples: felt
Particípio do passado: felt
Significado: sentir"
to fight,"Passado simples: fought
Particípio do passado: fought
Significado: lutar"
to find,"Passado simples: found
Particípio do passado: found
Significado: encontrar"
to flee,"Passado simples: fled
Particípio do passado: fled
Significado: fugir"
to fling,"Passado simples: flung
Particípio do passado: flung
Significado: arremessar/lancar"
to fly,"Passado simples: flew
Particípio do passado: flown
Significado: voar"
to forbid,"Passado simples: forbade
Particípio do passado: forbidden
Significado: proibir"
to forget,"Passado simples: forgot
Particípio do passado: forgotten
Significado: esquecer"
to forgive,"Passado simples: forgave
Particípio do passado: forgiven
Significado: perdoar"
to forsake,"Passado simples: forsook
Particípio do passado: forsaken
Significado: abandonar"
to freeze,"Passado simples: froze
Particípio do passado: frozen
Significado: congelar"
to get,"Passado simples: got
Particípio do passado: got/gotten
Significado: obter/pegar"
to give,"Passado simples: gave
Particípio do passado: given
Significado: dar"
to go,"Passado simples: went
Particípio do passado: gone
Significado: ir"
to grow,"Passado simples: grew
Particípio do passado: grown
Significado: crescer"
to hang,"Passado simples: hung
Particípio do passado: hung
Significado: pendurar"
to have,"Passado simples: had
Particípio do passado: had
Significado: ter"
to hear,"Passado simples: heard
Particípio do passado: heard
Significado: ouvir"
to heave,"Passado simples: heaved/hove
Particípio do passado: heaved/hove
Significado: erguer/suspender"
to hew,"Passado simples: hewed
Particípio do passado: hewn/hewed
Significado: talhar/cortar"
to hide,"Passado simples: hid
Particípio do passado: hidden
Significado: esconder"
to hit,"Passado simples: hit
Particípio do passado: hit
Significado: bater"
to hold,"Passado simples: held
Particípio do passado: held
Significado: segurar"
to hurt,"Passado simples: hurt
Particípio do passado: hurt
Significado: machucar/ferir"
to keep,"Passado simples: kept
Particípio do passado: kept
Significado: manter"
to kneel,"Passado simples: knelt/kneeled
Particípio do passado: knelt/kneeled
Significado: ajoelhar-se"
to knit,"Passado simples: knit/knitted
Particípio do passado: knit/knitted
Significado: tricotar"
to know,"Passado simples: knew
Particípio do passado: known
Significado: saber/conhecer"
to lay,"Passado simples: laid
Particípio do passado: laid
Significado: colocar/dispor"
to lead,"Passado simples: led
Particípio do passado: led
Significado: liderar/conduzir"
to leap,"Passado simples: leapt/leaped
Particípio do passado: leapt/leaped
Significado: saltar/pular"
